Codering_3,SoortRegio_2,Gemeentenaam_1,AantalInwoners_5,Mannen_6,Vrouwen_7,k_0Tot15Jaar_8,k_15Tot25Jaar_9,k_25Tot45Jaar_10,k_45Tot65Jaar_11,k_65JaarOfOuder_12,Nederland_17,EuropaExclusiefNederland_18,BuitenEuropa_19,HuishoudensTotaal_29,Eenpersoonshuishoudens_30,HuishoudensZonderKinderen_31,HuishoudensMetKinderen_32,GemiddeldeHuishoudensgrootte_33,Bevolkingsdichtheid_34,LeerlingenPo_62,LeerlingenVoInclVavo_63,StudentenMboExclExtranei_64,StudentenHbo_65,StudentenWo_66,BasisonderwijsVmboMbo1_67,HavoVwoMbo24_68,HboWo_69,WerkzameBeroepsbevolking_70,GemGestandaardiseerdInkomen_83,k_40HuishoudensMetLaagsteInkomen_84,k_20HuishoudensMetHoogsteInkomen_85,ALandbouwBosbouwEnVisserij_96,BFNijverheidEnEnergie_97,GIHandelEnHoreca_98,HJVervoerInformatieEnCommunicatie_99,KLFinancieleDienstenOnroerendGoed_100,MNZakelijkeDienstverlening_101,OQOverheidOnderwijsEnZorg_102,RUCultuurRecreatieOverigeDiensten_103,PersonenautoSPerHuishouden_107,MateVanStedelijkheid_120
BU08990345,Buurt     ,Brunssum                                ,210,100,110,20,20,40,65,55,145,35,35,120,65,20,35,1.7,4530,20,10,0,0,0,,,,80,,76.7,2.5,,,,,,,,,0.8,4
WK089904  ,Wijk      ,Brunssum                                ,2755,1420,1335,350,270,670,935,535,2145,415,205,1295,410,455,425,2.1,640,190,110,70,60,10,740,1080,370,1540,,33.2,13.4,0,45,40,15,5,35,35,30,1.3,3
BU08990428,Buurt     ,Brunssum                                ,230,120,110,25,30,45,100,40,205,20,10,100,30,40,35,2.2,2561,10,10,0,10,0,,,,140,,18.4,23.3,0,5,5,0,0,5,5,0,1.6,3
BU08990429,Buurt     ,Brunssum                                ,1325,685,645,165,125,355,435,245,1050,190,80,635,200,235,200,2.1,4594,80,60,50,20,0,360,550,,760,,32.7,11.6,0,20,15,5,0,15,10,15,1.3,3
BU08990430,Buurt     ,Brunssum                                ,1195,615,580,160,120,270,405,245,885,200,110,550,180,175,190,2.1,1995,90,40,20,30,0,350,430,150,630,,36.5,13.6,0,20,10,5,5,15,20,10,1.2,3
BU08990431,Buurt     ,Brunssum                                ,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,2.0,,0,0,0,0,0,,,,0,,,,,,,,,,,,,3
BU08990438,Buurt     ,Brunssum                                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,,,,,,,,,,,,,5
BU08990441,Buurt     ,Brunssum                                ,5,0,0,0,0,0,0,5,0,0,0,5,0,0,0,1.3,,0,0,0,0,0,,,,0,,,,,,,,,,,,,4
WK089905  ,Wijk      ,Brunssum                                ,7165,3435,3730,680,615,1440,2075,2355,5355,1230,580,3805,1775,1155,880,1.8,3990,360,260,160,110,30,1490,2150,1540,3260,36.9,48.7,12.0,0,95,165,30,30,135,145,110,1.1,2
BU08990506,Buurt     ,Brunssum                                ,915,425,495,95,75,185,225,340,630,180,105,540,305,140,90,1.7,6107,60,30,10,10,10,200,270,180,380,,62.5,6.3,0,15,20,5,0,5,15,10,0.9,2
BU08990510,Buurt     ,Brunssum                                ,475,230,245,60,35,85,135,165,375,70,30,255,120,70,60,1.9,3610,30,20,10,0,0,60,160,100,210,,47.4,13.1,0,5,5,0,5,10,5,5,1.1,2
BU08990511,Buurt     ,Brunssum                                ,305,135,170,15,10,25,60,195,210,70,25,170,75,70,15,1.7,3634,10,0,0,0,0,60,60,30,70,,44.9,4.2,0,0,5,0,0,5,5,5,1.0,2
BU08990512,Buurt     ,Brunssum                                ,635,270,365,25,30,115,120,345,415,155,65,450,295,120,30,1.4,6026,20,10,0,10,0,180,140,,180,,72.6,3.2,0,0,60,0,0,10,10,20,0.7,2
BU08990513,Buurt     ,Brunssum                                ,360,165,195,40,45,65,125,90,280,30,55,185,75,45,65,1.9,3003,20,20,10,0,0,110,130,,170,,46.8,9.1,0,5,5,5,0,5,10,5,1.0,2
BU08990519,Buurt     ,Brunssum                                ,1105,570,535,110,105,310,345,240,850,175,85,560,230,185,150,1.9,4802,60,40,40,20,0,280,420,190,580,,40.8,9.8,0,15,15,5,0,15,20,10,1.2,2
BU08990520,Buurt     ,Brunssum                                ,395,200,190,50,45,85,110,105,300,70,25,195,80,60,60,2.0,3234,20,20,10,20,0,,100,100,210,,37.6,21.6,0,10,20,0,10,20,10,10,1.3,2
BU08990521,Buurt     ,Brunssum                                ,690,350,340,80,85,170,235,120,550,85,55,315,95,95,120,2.2,2827,50,30,20,20,0,,300,130,410,,29.5,17.0,0,20,10,0,0,15,10,10,1.3,2
BU08990522,Buurt     ,Brunssum                                ,180,75,105,10,10,35,25,95,125,30,20,80,65,10,5,1.3,2156,10,0,0,0,0,,,,60,,,,,,,,,,,,0.6,2
BU08990523,Buurt     ,Brunssum                                ,935,425,510,50,55,125,235,465,670,210,60,560,320,170,75,1.6,3920,30,20,10,10,10,180,230,160,320,,65.9,12.5,0,15,20,5,5,25,35,15,1.0,2
BU08990527,Buurt     ,Brunssum                                ,1170,600,575,140,125,230,460,210,955,155,60,500,100,195,205,2.3,4075,70,60,30,30,10,180,350,420,670,,17.0,24.8,0,10,10,0,0,20,15,15,1.5,2
GM0312    ,Gemeente  ,Bunnik                                  ,16108,7951,8157,2877,1730,3399,4468,3634,13356,1048,1704,6946,2285,2144,2517,2.3,436,1620,1080,270,350,290,1880,3880,5820,8750,49.4,27.0,32.8,110,315,285,200,135,750,485,260,1.1,4
WK031200  ,Wijk      ,Bunnik                                  ,7350,3580,3765,1380,760,1590,1880,1740,5925,520,900,3230,1160,940,1125,2.2,557,800,540,90,150,160,660,1350,2980,3760,49.4,29.0,33.5,40,140,150,120,80,405,255,130,1.0,4
BU03120000,Buurt     ,Bunnik                                  ,6965,3395,3565,1330,695,1495,1775,1660,5595,495,870,3040,1065,895,1070,2.3,1989,780,520,80,140,140,600,1260,2820,3520,49.8,28.1,33.9,5,130,130,110,70,375,245,120,1.0,4
BU03120001,Buurt     ,Bunnik                                  ,145,65,80,15,15,45,35,35,115,10,20,80,40,20,15,1.8,243,10,0,0,0,10,,,70,90,,,,0,0,5,5,0,15,5,5,1.5,5
BU03120008,Buurt     ,Bunnik                                  ,55,20,25,5,5,10,10,15,50,0,0,35,25,5,5,1.5,23,0,0,0,0,0,,,,30,,,,,,,,,,,,,5
BU03120009,Buurt     ,Bunnik                                  ,190,95,90,30,40,35,55,30,160,10,15,75,30,15,30,2.4,28,10,20,10,10,10,30,60,,120,,,,25,5,10,0,5,15,5,5,1.8,5
WK031201  ,Wijk      ,Bunnik                                  ,6125,3040,3090,1020,625,1250,1855,1380,5110,365,650,2655,815,885,950,2.3,861,550,380,120,120,80,960,1700,1930,3410,49.6,25.3,31.3,15,100,90,60,40,235,160,80,1.1,4
BU03120100,Buurt     ,Bunnik                                  ,5420,2660,2755,820,570,1030,1700,1305,4520,315,585,2410,780,810,815,2.2,4488,460,340,110,120,70,880,1540,1680,2990,,26.5,28.5,5,90,80,50,30,200,135,65,1.1,4
BU03120109,Buurt     ,Bunnik                                  ,705,375,330,195,60,220,155,75,585,45,70,245,35,70,135,2.9,119,100,40,10,10,10,80,150,260,420,,13.3,59.8,15,10,10,10,10,35,25,15,1.2,5
WK031202  ,Wijk      ,Bunnik                                  ,2640,1335,1305,475,345,560,735,520,2320,170,150,1065,300,320,440,2.5,159,260,160,70,70,50,350,870,790,1570,,25.1,34.1,55,75,45,25,15,110,70,45,1.3,5
BU03120200,Buurt     ,Bunnik                                  ,2020,1010,1005,350,250,415,565,440,1760,135,120,840,240,265,340,2.4,3323,190,120,50,50,30,260,670,610,1190,,25.1,30.7,5,50,30,20,10,80,45,30,1.2,5
BU03120209,Buurt     ,Bunnik                                  ,615,315,300,125,90,150,165,80,560,30,30,225,65,55,105,2.7,39,70,40,20,30,10,90,190,180,380,,25.2,47.2,50,25,20,5,5,30,25,15,1.7,5
GM0313    ,Gemeente  ,Bunschoten                              ,22619,11290,11329,4235,2830,5931,5724,3899,19519,1308,1792,8833,2398,2689,3746,2.5,744,2260,1390,680,480,150,5590,7780,3260,13080,46.1,27.9,27.1,75,605,835,155,210,655,320,325,1.2,3
WK031300  ,Wijk      ,Bunschoten                              ,22620,11290,11330,4235,2830,5930,5725,3900,19520,1310,1790,8835,2395,2690,3745,2.5,744,2260,1390,680,480,150,5590,7780,3260,13080,46.1,27.9,27.1,75,605,835,155,210,655,320,325,1.2,3
BU03130001,Buurt     ,Bunschoten                              ,3265,1665,1595,600,475,890,870,425,2745,235,285,1265,345,365,560,2.6,2172,310,210,110,80,20,730,1240,520,1990,,28.1,27.5,0,130,145,30,35,140,85,55,1.2,3
BU03130002,Buurt     ,Bunschoten                              ,4850,2440,2410,725,585,1290,1260,990,4230,360,260,2120,700,705,715,2.3,4483,360,240,130,90,30,1300,1770,600,2900,,31.8,24.2,5,165,285,40,60,150,65,90,1.1,2
BU03130003,Buurt     ,Bunschoten                              ,815,395,425,150,115,150,245,155,780,15,15,295,60,100,135,2.8,258,80,70,20,20,10,200,240,150,490,,21.8,42.2,20,30,30,10,20,20,10,20,1.5,5
BU03130004,Buurt     ,Bunschoten                              ,2615,1230,1385,445,315,570,590,695,2270,110,230,940,255,285,400,2.5,5223,250,140,80,40,10,760,700,,1270,,33.5,23.6,0,40,55,10,15,50,25,35,1.0,3
BU03130005,Buurt     ,Bunschoten                              ,3245,1630,1615,670,415,735,790,630,2790,160,290,1200,270,375,550,2.7,5608,380,230,120,70,20,790,1050,430,1750,,23.2,28.0,0,55,65,15,15,60,30,30,1.1,3
BU03130006,Buurt     ,Bunschoten                              ,3665,1845,1815,665,455,865,1085,600,3130,175,355,1405,305,475,630,2.6,6558,360,230,110,80,20,990,1300,570,2130,,22.5,26.0,5,50,70,15,25,75,50,45,1.2,3
BU03130007,Buurt     ,Bunschoten                              ,225,115,110,25,40,40,65,55,205,15,10,70,20,15,35,2.9,28,10,20,10,10,0,,,,130,,,,25,35,45,10,10,40,5,5,,5
BU03130008,Buurt     ,Bunschoten                              ,225,120,110,30,30,60,75,35,175,45,10,95,30,30,35,2.4,16,10,10,10,10,0,70,90,,150,,,,20,50,50,10,10,30,10,20,,4
BU03130009,Buurt     ,Bunschoten                              ,1650,805,845,320,230,390,455,255,1480,70,100,650,205,165,275,2.5,7525,170,130,50,60,20,350,610,250,950,,33.0,30.9,0,20,40,10,10,30,20,15,1.0,3
BU03130011,Buurt     ,Bunschoten                              ,2075,1045,1025,610,165,945,295,65,1715,115,240,795,220,170,405,2.6,2839,330,120,40,30,10,370,710,,1320,,24.6,29.2,0,25,50,15,5,65,25,15,1.1,4
GM0214    ,Gemeente  ,Buren                                   ,27773,13953,13820,4227,3073,5957,8509,6007,24495,1705,1573,11750,3322,4080,4348,2.3,208,2230,1420,740,440,150,6400,9080,5580,15900,45.4,29.2,26.6,445,760,750,295,220,1050,570,460,1.4,5
WK021400  ,Wijk      ,Buren                                   ,3620,1805,1815,540,400,720,1115,845,3205,185,230,1535,460,525,550,2.3,146,270,210,110,50,20,720,1120,830,2050,,28.2,27.6,80,105,110,35,30,160,95,70,1.4,5
BU02140000,Buurt     ,Buren                                   ,410,175,230,40,25,45,165,125,350,20,45,200,60,95,50,2.0,3326,20,20,0,10,0,60,130,140,240,,26.1,30.5,0,5,25,0,5,35,15,20,1.3,5
BU02140001,Buurt     ,Buren                                   ,850,400,450,105,80,175,235,260,770,30,45,375,125,135,115,2.1,1879,50,40,30,10,10,170,270,160,440,,33.4,15.9,0,15,5,5,0,25,20,15,1.3,5
BU02140002,Buurt     ,Buren                                   ,805,420,380,135,100,205,220,150,680,50,75,340,100,105,135,2.4,1899,70,40,30,20,10,190,300,,460,,29.6,18.6,0,25,30,10,5,25,25,10,1.4,5
BU02140003,Buurt     ,Buren                                   ,310,155,160,45,35,60,110,55,265,30,15,135,50,40,45,2.3,360,20,20,10,10,0,,70,120,190,,28.2,32.1,10,10,10,0,5,20,10,5,1.6,5
BU02140004,Buurt     ,Buren                                   ,405,215,185,60,50,80,125,90,355,15,30,155,40,55,60,2.6,740,30,30,10,0,0,70,120,100,230,,19.1,35.7,10,10,15,10,5,15,5,10,1.9,5
BU02140006,Buurt     ,Buren                                   ,100,50,55,25,15,15,30,15,95,0,0,35,10,10,15,3.0,25,10,10,0,0,0,,,,60,,,,10,0,5,0,0,5,0,0,,5
BU02140007,Buurt     ,Buren                                   ,125,65,60,15,20,20,45,30,120,0,0,45,15,10,15,2.6,28,10,10,10,0,0,,,,70,,,,15,5,5,0,5,5,5,0,,5
BU02140008,Buurt     ,Buren                                   ,80,40,40,10,10,20,25,15,75,10,0,40,15,10,15,2.1,15,10,10,0,0,0,,,,50,,,,10,5,0,0,0,5,0,0,,5
BU02140009,Buurt     ,Buren                                   ,535,280,255,100,70,95,175,95,495,25,20,205,55,65,90,2.6,63,50,40,20,10,10,140,140,110,300,,24.9,42.9,25,25,15,5,5,20,15,10,1.3,5
WK021401  ,Wijk      ,Buren                                   ,4015,2080,1940,600,465,815,1285,855,3570,205,240,1685,420,580,675,2.4,344,310,210,90,70,30,750,1240,1030,2330,,22.8,31.2,25,110,100,40,35,190,100,65,1.4,5
BU02140100,Buurt     ,Buren                                   ,2720,1400,1320,390,300,575,840,615,2395,145,180,1180,325,410,445,2.3,2990,210,140,70,50,20,550,830,650,1520,,25.4,26.5,5,75,60,25,20,125,60,40,1.4,5
BU02140101,Buurt     ,Buren                                   ,555,300,255,85,70,95,190,115,510,20,30,225,50,80,90,2.4,1875,40,30,10,10,0,,180,140,330,,19.8,33.5,0,15,5,10,5,25,15,10,1.5,5
BU02140109,Buurt     ,Buren                                   ,740,385,355,125,90,145,255,125,670,40,35,275,45,90,140,2.7,71,60,50,10,10,0,110,230,230,470,,13.8,49.5,20,20,35,5,15,45,25,15,1.8,5
WK021402  ,Wijk      ,Buren                                   ,3375,1690,1685,465,370,685,1070,785,3010,185,185,1435,355,565,515,2.3,147,260,140,90,60,20,680,1120,880,2030,,24.6,29.5,60,90,75,30,30,135,90,60,1.4,5
BU02140200,Buurt     ,Buren                                   ,1030,530,510,130,95,200,335,270,910,60,65,455,120,180,150,2.3,749,70,30,20,10,10,150,320,310,590,,25.1,29.7,10,30,20,10,10,55,30,20,1.5,5
BU02140201,Buurt     ,Buren                                   ,1175,570,600,165,125,235,365,285,1060,50,65,495,110,205,185,2.4,1326,100,50,30,30,10,230,420,300,720,,20.4,28.3,5,35,20,5,15,30,30,15,1.5,5
BU02140202,Buurt     ,Buren                                   ,140,65,75,20,10,30,45,30,125,5,5,50,5,25,20,2.6,576,10,10,0,0,0,,,,80,,,,,,,,,,,,1.7,5
BU02140206,Buurt     ,Buren                                   ,165,80,90,10,10,20,65,65,160,5,0,95,35,40,15,1.8,40,0,10,0,0,0,,50,,80,,,,5,5,5,0,0,5,0,5,1.2,5
BU02140207,Buurt     ,Buren                                   ,585,300,280,110,80,150,165,80,515,30,45,215,40,75,100,2.7,55,60,40,20,10,10,160,150,,350,,16.7,34.9,20,10,20,10,5,20,15,10,1.5,5
BU02140208,Buurt     ,Buren                                   ,75,40,35,5,15,10,25,15,50,25,5,40,20,10,10,1.8,48,10,0,10,0,0,,,,80,,,,10,0,0,0,5,5,5,0,,5
BU02140209,Buurt     ,Buren                                   ,200,100,100,25,25,35,75,35,190,5,0,80,20,30,30,2.4,48,10,10,10,0,0,50,,,130,,,,10,10,5,0,0,10,5,0,1.4,5
WK021403  ,Wijk      ,Buren                                   ,6710,3360,3350,1160,795,1510,1885,1370,6045,335,330,2715,760,900,1055,2.5,278,630,360,200,110,30,1600,2310,1060,3790,43.8,30.4,25.7,140,175,200,75,45,235,115,95,1.4,5
BU02140300,Buurt     ,Buren                                   ,3555,1745,1805,650,360,815,935,790,3260,115,185,1445,405,470,570,2.4,2392,370,170,110,50,10,890,1160,480,1860,,34.2,20.5,25,85,110,30,20,95,60,45,1.4,4
BU02140301,Buurt     ,Buren                                   ,505,255,255,80,70,120,150,90,425,55,25,215,75,70,75,2.3,422,40,20,10,10,10,80,200,100,300,,33.5,26.9,10,10,20,5,5,20,5,10,1.3,5
BU02140305,Buurt     ,Buren                                   ,300,150,145,35,50,50,105,55,270,20,10,105,20,40,45,2.7,82,20,10,10,10,0,80,130,,200,,20.2,46.8,25,15,10,10,5,10,5,10,2.4,5
BU02140306,Buurt     ,Buren                                   ,1205,605,595,190,165,250,380,225,1060,75,70,470,85,190,190,2.6,163,90,90,40,30,0,250,450,240,750,,14.7,32.3,25,20,30,20,10,50,25,15,1.7,5
BU02140307,Buurt     ,Buren                                   ,305,165,140,70,55,55,70,60,290,10,10,100,30,35,45,3.0,50,40,30,10,10,0,60,90,60,170,,25.5,43.1,35,10,10,5,0,20,5,5,1.7,5
BU02140308,Buurt     ,Buren                                   ,845,435,410,135,100,225,240,150,745,70,35,370,150,100,130,2.3,195,80,40,20,20,10,230,280,150,520,,38.3,26.1,20,25,15,5,5,40,15,10,1.1,5
WK021404  ,Wijk      ,Buren                                   ,2055,1025,1030,280,190,460,670,450,1815,140,100,915,275,335,305,2.2,166,140,90,40,30,10,460,760,380,1180,,32.7,22.8,45,55,65,15,20,70,35,45,1.4,5
BU02140400,Buurt     ,Buren                                   ,1065,510,555,160,90,260,310,250,915,85,65,490,165,170,155,2.2,1422,80,40,20,20,0,200,410,190,560,,38.3,17.5,5,20,25,5,10,35,15,20,1.2,5
BU02140402,Buurt     ,Buren                                   ,310,165,145,30,25,70,130,50,285,10,10,140,35,60,50,2.2,693,20,10,10,0,0,90,110,,200,,25.7,20.7,5,10,10,5,0,5,5,5,1.2,5
BU02140408,Buurt     ,Buren                                   ,550,285,265,70,60,105,185,130,495,45,10,235,65,95,75,2.4,101,40,30,10,10,0,130,190,110,340,,28.6,31.6,30,15,20,5,10,25,10,10,1.8,5
BU02140409,Buurt     ,Buren                                   ,125,60,60,20,15,35,45,20,115,5,10,50,10,20,20,2.5,22,10,10,0,0,0,,,,80,,,,10,5,5,0,0,5,0,5,1.5,5
WK021405  ,Wijk      ,Buren                                   ,7345,3660,3685,1095,775,1650,2250,1585,6275,610,455,3205,990,1085,1135,2.3,275,580,350,190,90,30,2070,2310,1240,4140,42.1,33.9,23.2,70,210,190,90,45,230,120,110,1.4,5
BU02140500,Buurt     ,Buren                                   ,3380,1665,1715,495,350,750,1015,770,2795,370,215,1525,535,465,525,2.2,2559,290,150,90,40,10,890,1100,560,1820,,40.1,18.7,10,65,45,25,15,70,45,35,1.2,4
BU02140501,Buurt     ,Buren                                   ,350,175,170,55,30,60,120,85,325,10,15,155,50,65,45,2.2,1157,40,20,10,0,0,60,120,70,180,,29.5,23.7,0,5,0,5,0,15,10,5,1.3,5
BU02140502,Buurt     ,Buren                                   ,925,455,475,115,105,175,275,255,850,40,35,415,115,160,145,2.2,2948,60,50,30,20,0,230,350,120,500,,33.1,20.3,0,15,20,10,10,25,10,15,1.5,5
BU02140503,Buurt     ,Buren                                   ,195,95,100,25,25,35,65,50,165,15,10,90,35,35,25,2.0,263,10,10,0,0,0,,60,40,100,,,,0,15,10,0,0,10,10,5,1.5,5
BU02140507,Buurt     ,Buren                                   ,195,90,100,20,20,35,65,45,185,5,5,75,15,35,25,2.5,50,10,20,0,0,0,50,60,,120,,,,5,10,5,10,5,20,5,5,1.7,5
BU02140508,Buurt     ,Buren                                   ,1620,845,775,300,165,470,450,235,1365,115,140,665,165,220,275,2.4,118,150,70,40,20,10,500,480,280,980,,26.3,27.5,35,70,55,25,10,60,30,30,1.5,5
BU02140509,Buurt     ,Buren                                   ,680,330,350,75,85,115,260,145,595,50,35,285,80,110,95,2.4,107,40,40,20,10,0,200,200,170,440,,25.6,33.3,15,35,50,15,10,35,10,20,1.6,5
WK021406  ,Wijk      ,Buren                                   ,650,340,305,90,80,120,230,125,575,40,30,260,65,80,110,2.5,59,40,50,10,20,10,80,230,190,380,,20.3,41.0,20,20,15,10,5,30,20,15,1.6,5
BU02140600,Buurt     ,Buren                                   ,280,155,125,45,30,65,80,55,240,20,20,120,40,35,45,2.3,1502,20,20,0,10,0,,,,160,,22.5,27.5,0,10,0,5,5,15,10,5,1.2,5
BU02140608,Buurt     ,Buren                                   ,240,120,120,35,35,40,90,45,210,15,10,85,15,35,35,2.8,64,20,20,0,10,0,,,90,150,,,,15,10,10,0,0,10,10,10,2.0,5
BU02140609,Buurt     ,Buren                                   ,130,70,60,15,15,15,60,30,125,5,5,50,10,15,20,2.7,19,10,10,0,10,0,,,,80,,,,10,0,5,0,5,5,5,0,,5
GM0502    ,Gemeente  ,Capelle aan den IJssel                  ,67925,32879,35046,10685,7737,16988,17604,14911,39700,6021,22204,32117,12891,8531,10695,2.1,4803,5830,3640,1910,1500,930,13710,21430,15730,34910,39.9,40.3,18.1,35,1155,1460,935,430,2390,1770,815,0.9,2
WK050201  ,Wijk      ,Capelle aan den IJssel                  ,9290,4570,4715,1315,1140,1915,3080,1840,6520,665,2105,3845,965,1255,1630,2.4,5731,670,500,220,230,190,1480,2810,2890,5390,48.0,22.2,35.1,0,145,160,125,55,345,165,100,1.2,2
BU05020110,Buurt     ,Capelle aan den IJssel                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,,,,,,,,,,,,,3
BU05020111,Buurt     ,Capelle aan den IJssel                  ,1065,530,530,170,120,260,285,230,885,45,135,420,75,155,185,2.5,6155,80,60,20,20,20,200,380,230,600,,19.1,28.9,0,15,10,5,5,15,20,15,1.2,2
BU05020112,Buurt     ,Capelle aan den IJssel                  ,15,10,5,0,5,0,5,5,10,0,0,5,0,0,0,2.0,72,0,0,0,0,0,,,,10,,,,0,35,40,10,10,25,5,10,,3
BU05020113,Buurt     ,Capelle aan den IJssel                  ,955,455,500,135,125,210,290,190,715,60,175,455,165,135,165,2.1,5333,80,50,40,20,10,220,330,180,510,,43.6,13.0,0,20,10,10,5,25,10,15,0.9,3
BU05020114,Buurt     ,Capelle aan den IJssel                  ,155,75,80,35,15,25,55,25,135,10,10,60,15,20,30,2.6,1203,20,20,0,0,0,,,,90,,,,,,,,,,,,1.6,2
BU05020115,Buurt     ,Capelle aan den IJssel                  ,1185,585,605,170,125,290,365,235,780,105,300,450,110,135,205,2.5,7900,110,50,30,20,20,150,370,380,680,,20.3,36.6,0,10,10,20,5,30,15,10,1.1,2
BU05020116,Buurt     ,Capelle aan den IJssel                  ,1515,725,790,205,170,300,510,315,950,135,430,650,180,220,255,2.3,10197,100,70,30,40,40,270,440,460,850,,25.5,35.6,0,20,15,15,5,60,25,10,1.1,2
BU05020117,Buurt     ,Capelle aan den IJssel                  ,1540,765,770,250,205,350,540,200,1015,110,410,595,125,165,305,2.6,8863,130,80,40,40,30,190,450,550,970,,13.7,47.4,0,15,20,20,5,55,25,20,1.3,2
BU05020118,Buurt     ,Capelle aan den IJssel                  ,535,260,275,80,55,85,185,130,415,30,90,220,45,85,90,2.5,5006,40,40,10,10,10,,150,180,300,,12.0,44.0,0,0,5,10,5,25,10,10,1.1,2
BU05020119,Buurt     ,Capelle aan den IJssel                  ,2340,1175,1165,265,330,380,850,510,1615,165,555,995,260,340,395,2.3,8091,120,150,40,80,60,340,640,860,1390,,20.0,37.8,0,20,40,35,15,100,45,20,1.2,2
WK050202  ,Wijk      ,Capelle aan den IJssel                  ,8045,3900,4145,1235,1025,2105,1810,1865,4925,660,2455,3890,1685,1060,1145,2.0,6629,660,430,260,170,120,1590,2410,1830,4120,38.6,40.3,14.7,10,130,130,100,35,215,155,95,0.9,1
BU05020223,Buurt     ,Capelle aan den IJssel                  ,995,490,510,185,210,215,230,150,295,75,625,470,240,70,160,2.1,6135,100,90,80,40,10,300,,,430,,66.5,4.5,0,20,20,10,0,15,20,5,0.7,1
BU05020224,Buurt     ,Capelle aan den IJssel                  ,1885,920,965,260,245,575,460,350,1235,155,495,965,440,265,260,2.0,5924,120,90,40,50,50,250,550,670,1160,,31.3,20.3,0,25,25,25,10,75,35,15,0.9,2
BU05020225,Buurt     ,Capelle aan den IJssel                  ,1215,580,630,225,155,300,270,265,900,90,220,500,165,145,195,2.4,5558,130,70,30,30,20,,380,290,650,,26.1,24.0,0,20,20,15,5,25,20,10,1.1,1
BU05020226,Buurt     ,Capelle aan den IJssel                  ,860,425,435,190,120,275,195,85,560,85,220,365,130,75,160,2.4,9070,100,60,30,20,10,150,330,160,520,,30.0,22.2,0,30,20,15,0,30,20,15,1.0,1
BU05020227,Buurt     ,Capelle aan den IJssel                  ,1310,675,640,190,170,370,270,310,650,110,550,705,365,175,170,1.9,6328,100,60,60,30,20,330,420,190,610,,52.3,7.1,5,15,15,15,5,20,30,15,0.8,2
BU05020228,Buurt     ,Capelle aan den IJssel                  ,745,320,425,45,35,95,140,435,560,50,135,345,130,155,60,1.9,7565,30,10,10,0,0,150,120,150,220,,34.9,15.1,0,5,10,5,5,25,15,10,1.0,1
BU05020229,Buurt     ,Capelle aan den IJssel                  ,1035,490,545,145,95,275,255,270,730,100,210,535,215,180,145,1.9,9056,80,40,20,20,10,210,280,260,530,,41.2,9.6,0,15,25,15,5,25,20,20,0.9,1
WK050203  ,Wijk      ,Capelle aan den IJssel                  ,8390,3850,4545,1420,835,1965,1895,2275,4965,625,2800,4090,1835,985,1270,2.0,7656,800,460,230,160,50,1680,2540,1580,3710,35.5,48.7,11.6,0,115,150,70,25,200,175,95,0.8,1
BU05020332,Buurt     ,Capelle aan den IJssel                  ,2080,990,1090,520,250,580,410,310,975,200,905,855,245,215,395,2.4,8797,330,160,80,50,20,470,630,470,1040,,34.2,15.7,0,30,20,15,10,45,45,20,0.8,1
BU05020333,Buurt     ,Capelle aan den IJssel                  ,1090,475,610,75,70,265,210,470,670,80,340,660,380,175,105,1.6,6347,40,30,10,20,10,180,380,190,460,,51.2,5.2,0,10,80,15,5,30,15,20,0.7,1
BU05020334,Buurt     ,Capelle aan den IJssel                  ,1085,485,600,180,145,230,290,230,525,50,515,530,240,90,195,2.0,8287,100,60,60,20,0,340,270,170,440,,64.6,5.5,0,20,10,5,0,15,35,15,0.7,1
BU05020335,Buurt     ,Capelle aan den IJssel                  ,1295,515,780,60,55,165,210,810,995,105,200,815,550,190,75,1.4,10953,20,20,10,10,10,170,310,,360,,61.2,4.7,0,15,5,0,0,15,20,10,0.7,1
BU05020336,Buurt     ,Capelle aan den IJssel                  ,720,360,360,120,80,160,245,110,560,45,120,285,65,100,120,2.5,5793,60,60,10,30,10,,280,210,440,,16.5,37.7,0,10,15,10,5,50,15,10,1.5,1
BU05020337,Buurt     ,Capelle aan den IJssel                  ,355,180,170,60,30,75,110,85,295,20,40,170,70,55,45,2.1,3167,30,20,0,10,0,,120,,190,,38.8,30.0,0,5,5,5,5,10,15,10,0.7,1
BU05020338,Buurt     ,Capelle aan den IJssel                  ,1760,835,925,395,190,495,410,265,950,130,675,770,285,155,335,2.3,8749,220,110,60,30,10,380,620,240,780,,52.4,10.4,0,30,15,15,0,35,35,15,0.7,1
WK050204  ,Wijk      ,Capelle aan den IJssel                  ,8330,4105,4225,1275,850,2025,2150,2030,5490,715,2125,3985,1645,1060,1280,2.1,6204,690,440,200,190,90,1370,2390,2290,4280,41.7,39.0,23.3,0,100,145,100,40,270,205,85,1.0,2
BU05020441,Buurt     ,Capelle aan den IJssel                  ,915,370,545,105,55,125,165,455,595,80,245,610,415,90,105,1.5,10722,70,40,20,10,10,260,240,,260,,80.2,2.3,0,5,10,5,0,5,25,5,0.4,1
