"Logiesaccommodaties; gasten, nachten, woonland, logiesvorm, regio"
"Logiesvormen: Totaal logiesaccommodaties"
"";"";"";"";"Regio's"
"Perioden";"Onderwerp";"Woonland van gasten";"";"Nederland";"Groningen (PV)";"Fryslân (PV)";"Drenthe (PV)";"Overijssel (PV)";"Flevoland (PV)";"Gelderland (PV)";"Utrecht (PV)";"Noord-Holland (PV)";"Zuid-Holland (PV)";"Zeeland (PV)";"Noord-Brabant (PV)";"Limburg (PV)"
"2026 maart*";"Gasten";"Totaal buitenland";"x 1 000";"1496";"15";"20";"28";"18";"17";"47";"36";"838";"200";"78";"97";"103"
"2026 maart*";"Gasten";"Europa exclusief Nederland";"x 1 000";"1221";"13";"19";"27";"16";"17";"45";"32";"618";"175";"77";"88";"95"
"2026 maart*";"Gasten";"Duitsland";"x 1 000";"438";"8";"14";"24";"10";"11";"26";"9";"143";"64";"49";"25";"54"
"2026 maart*";"Gasten";"België";"x 1 000";"162";"1";"1";"2";"2";"2";"7";"7";"43";"29";"22";"26";"19"
"2026 maart*";"Gasten";"Verenigd Koninkrijk";"x 1 000";"168";"1";"0";"0";"1";"1";"1";"3";"132";"16";"1";"7";"5"
"2026 maart*";"Gasten";"Frankrijk";"x 1 000";"74";"0";"0";"0";"0";"1";"1";"2";"49";"12";"1";"4";"3"
"2026 maart*";"Gasten";"Zwitserland en Liechtenstein";"x 1 000";"19";"0";"0";"0";"0";"0";"0";"0";"13";"2";"0";"1";"1"
"2026 maart*";"Gasten";"Italië";"x 1 000";"56";"0";"0";"0";"0";"0";"1";"1";"44";"5";"0";"3";"2"
"2026 maart*";"Gasten";"Spanje";"x 1 000";"69";"0";"0";"0";"0";"0";"1";"2";"47";"10";"0";"6";"2"
"2026 maart*";"Gasten";"Denemarken";"x 1 000";"12";"0";"0";"0";"0";"0";"0";"0";"7";"2";"0";"1";"0"
"2026 maart*";"Gasten";"Zweden";"x 1 000";"12";"0";"0";"0";"0";"0";"0";"1";"8";"2";"0";"1";"0"
"2026 maart*";"Gasten";"Overige landen Eurozone";"x 1 000";"83";"1";"1";"0";"1";"1";"2";"2";"55";"11";"1";"5";"3"
"2026 maart*";"Gasten";"Overig Europa";"x 1 000";"129";"1";"1";"0";"1";"1";"4";"4";"77";"22";"2";"11";"5"
"2026 maart*";"Gasten";"Amerika";"x 1 000";"177";"1";"0";"0";"1";"0";"2";"3";"146";"14";"0";"5";"5"
"2026 maart*";"Gasten";"Azië";"x 1 000";"78";"0";"0";"0";"1";"0";"1";"1";"60";"9";"0";"3";"2"
"2026 maart*";"Gasten";"Australië en Oceanië";"x 1 000";"10";"0";"0";"0";"0";"0";"0";"0";"8";"1";"0";"1";"0"
"2026 maart*";"Gasten";"Afrika";"x 1 000";"10";"0";"0";"0";"0";"0";"0";"0";"7";"2";"0";"1";"0"
"2026 maart*";"Overnachtingen";"Totaal landen";"x 1 000";"8123";"114";"283";"411";"295";"192";"760";"281";"2815";"1065";"437";"732";"738"
"2026 maart*";"Overnachtingen";"Nederland";"x 1 000";"4492";"75";"220";"312";"251";"132";"639";"209";"892";"592";"180";"507";"483"
"2026 maart*";"Overnachtingen";"Totaal buitenland";"x 1 000";"3631";"39";"64";"99";"43";"60";"121";"72";"1923";"473";"257";"224";"255"
"2026 maart*";"Overnachtingen";"Europa exclusief Nederland";"x 1 000";"3011";"35";"62";"99";"40";"58";"115";"62";"1429";"412";"255";"204";"241"
"2026 maart*";"Overnachtingen";"Duitsland";"x 1 000";"1247";"17";"49";"90";"26";"40";"71";"18";"359";"179";"183";"62";"153"
"2026 maart*";"Overnachtingen";"België";"x 1 000";"308";"2";"3";"4";"4";"5";"14";"11";"73";"51";"54";"49";"39"
"2026 maart*";"Overnachtingen";"Verenigd Koninkrijk";"x 1 000";"388";"2";"0";"0";"1";"2";"3";"6";"308";"33";"2";"17";"12"
"2026 maart*";"Overnachtingen";"Frankrijk";"x 1 000";"163";"0";"0";"0";"0";"4";"3";"4";"105";"26";"2";"8";"8"
"2026 maart*";"Overnachtingen";"Zwitserland en Liechtenstein";"x 1 000";"44";"0";"0";"0";"0";"0";"0";"0";"30";"6";"0";"2";"2"
"2026 maart*";"Overnachtingen";"Italië";"x 1 000";"137";"0";"0";"0";"0";"0";"1";"2";"107";"12";"0";"7";"4"
"2026 maart*";"Overnachtingen";"Spanje";"x 1 000";"152";"0";"0";"0";"0";"0";"1";"5";"100";"23";"0";"15";"4"
"2026 maart*";"Overnachtingen";"Denemarken";"x 1 000";"26";"0";"0";"0";"0";"0";"0";"0";"16";"3";"0";"1";"0"
"2026 maart*";"Overnachtingen";"Zweden";"x 1 000";"27";"0";"0";"0";"0";"0";"0";"1";"18";"4";"0";"1";"0"
"2026 maart*";"Overnachtingen";"Overige landen Eurozone";"x 1 000";"215";"4";"4";"0";"2";"3";"7";"5";"131";"26";"7";"15";"8"
"2026 maart*";"Overnachtingen";"Overig Europa";"x 1 000";"305";"4";"3";"0";"3";"2";"12";"10";"182";"49";"4";"26";"10"
"2026 maart*";"Overnachtingen";"Amerika";"x 1 000";"391";"2";"0";"0";"2";"0";"4";"6";"322";"32";"0";"11";"9"
"2026 maart*";"Overnachtingen";"Azië";"x 1 000";"181";"0";"0";"0";"1";"0";"2";"3";"138";"22";"0";"7";"4"
"2026 maart*";"Overnachtingen";"Australië en Oceanië";"x 1 000";"23";"0";"0";"0";"0";"0";"0";"0";"18";"2";"0";"1";"0"
"2026 maart*";"Overnachtingen";"Afrika";"x 1 000";"25";"0";"0";"0";"0";"0";"0";"0";"16";"5";"0";"1";"0"
"Bron: CBS"
