"Populatie";"Geslacht";"Persoonskenmerken";"Vervoerwijzen";"Marges";"Perioden";"Regio's";"Gemiddeld per persoon per dag /Verplaatsingen  (aantal)";"Gemiddeld per persoon per dag /Afstand  (reizigerskilometers)";"Gemiddeld per persoon per dag /Reisduur (minuten)"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: Nederland";"Totaal";"Waarde";"2022";"Nederland";2,87;32,55;74,56
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: Nederland";"Totaal";"Waarde";"2023";"Nederland";;;
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: Nederland";"Totaal";"Waarde";"2024*";"Nederland";;;
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: Nederland";"Personenauto (bestuurder)";"Waarde";"2018";"Nederland";1,04;19,88;26,46
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: Nederland";"Personenauto (bestuurder)";"Waarde";"2019";"Nederland";1,04;19,86;26,61
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: Nederland";"Personenauto (bestuurder)";"Waarde";"2020";"Nederland";0,89;14,44;20,11
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: Nederland";"Personenauto (bestuurder)";"Waarde";"2021";"Nederland";0,9;15,44;21,57
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: Nederland";"Personenauto (bestuurder)";"Waarde";"2022";"Nederland";0,96;16,77;23,28
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: Nederland";"Personenauto (bestuurder)";"Waarde";"2023";"Nederland";;;
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: Nederland";"Personenauto (bestuurder)";"Waarde";"2024*";"Nederland";;;
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: Nederland";"Personenauto  (passagier)";"Waarde";"2018";"Nederland";0,34;7,2;9,82
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: Nederland";"Personenauto  (passagier)";"Waarde";"2019";"Nederland";0,33;7,14;9,8
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: Nederland";"Personenauto  (passagier)";"Waarde";"2020";"Nederland";0,26;4,74;7,06
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: Nederland";"Personenauto  (passagier)";"Waarde";"2021";"Nederland";0,27;5,41;8,09
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: Nederland";"Personenauto  (passagier)";"Waarde";"2022";"Nederland";0,3;6,01;8,64
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: Nederland";"Personenauto  (passagier)";"Waarde";"2023";"Nederland";;;
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: Nederland";"Personenauto  (passagier)";"Waarde";"2024*";"Nederland";;;
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: Nederland";"Trein";"Waarde";"2018";"Nederland";0,07;3,73;5,74
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: Nederland";"Trein";"Waarde";"2019";"Nederland";0,08;3,93;6
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: Nederland";"Trein";"Waarde";"2020";"Nederland";0,03;1,58;2,39
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: Nederland";"Trein";"Waarde";"2021";"Nederland";0,03;1,48;2,44
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: Nederland";"Trein";"Waarde";"2022";"Nederland";0,05;2,33;3,79
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: Nederland";"Trein";"Waarde";"2023";"Nederland";;;
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: Nederland";"Trein";"Waarde";"2024*";"Nederland";;;
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: Nederland";"Fiets";"Waarde";"2018";"Nederland";0,84;3,4;17,11
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: Nederland";"Fiets";"Waarde";"2019";"Nederland";0,8;3,22;16,65
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: Nederland";"Fiets";"Waarde";"2020";"Nederland";0,68;2,9;15,68
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: Nederland";"Fiets";"Waarde";"2021";"Nederland";0,69;2,95;15,74
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: Nederland";"Fiets";"Waarde";"2022";"Nederland";0,81;3,33;17,4
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: Nederland";"Fiets";"Waarde";"2023";"Nederland";;;
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: Nederland";"Fiets";"Waarde";"2024*";"Nederland";;;
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: westers";"Totaal";"Waarde";"2018";"Nederland";2,57;31,63;72,66
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: westers";"Totaal";"Waarde";"2019";"Nederland";2,5;31,42;73,25
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: westers";"Totaal";"Waarde";"2020";"Nederland";2,02;20,1;57,53
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: westers";"Totaal";"Waarde";"2021";"Nederland";2,24;23,49;66,57
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: westers";"Totaal";"Waarde";"2022";"Nederland";2,33;25,64;69,29
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: westers";"Totaal";"Waarde";"2023";"Nederland";;;
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: westers";"Totaal";"Waarde";"2024*";"Nederland";;;
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: westers";"Personenauto (bestuurder)";"Waarde";"2018";"Nederland";0,8;14,56;20,38
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: westers";"Personenauto (bestuurder)";"Waarde";"2019";"Nederland";0,75;14,17;20,07
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: westers";"Personenauto (bestuurder)";"Waarde";"2020";"Nederland";0,61;9,95;14,97
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: westers";"Personenauto (bestuurder)";"Waarde";"2021";"Nederland";0,67;11,33;16,64
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: westers";"Personenauto (bestuurder)";"Waarde";"2022";"Nederland";0,62;11,32;16,63
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: westers";"Personenauto (bestuurder)";"Waarde";"2023";"Nederland";;;
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: westers";"Personenauto (bestuurder)";"Waarde";"2024*";"Nederland";;;
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: westers";"Personenauto  (passagier)";"Waarde";"2018";"Nederland";0,29;5,88;8,26
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: westers";"Personenauto  (passagier)";"Waarde";"2019";"Nederland";0,27;5,72;8,47
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: westers";"Personenauto  (passagier)";"Waarde";"2020";"Nederland";0,19;3,45;5,4
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: westers";"Personenauto  (passagier)";"Waarde";"2021";"Nederland";0,23;4,45;7,15
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: westers";"Personenauto  (passagier)";"Waarde";"2022";"Nederland";0,23;4,34;6,78
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: westers";"Personenauto  (passagier)";"Waarde";"2023";"Nederland";;;
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: westers";"Personenauto  (passagier)";"Waarde";"2024*";"Nederland";;;
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: westers";"Trein";"Waarde";"2018";"Nederland";0,09;4,56;7,68
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: westers";"Trein";"Waarde";"2019";"Nederland";0,11;4,82;7,88
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: westers";"Trein";"Waarde";"2020";"Nederland";0,04;1,89;3,41
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: westers";"Trein";"Waarde";"2021";"Nederland";0,04;2,15;3,46
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: westers";"Trein";"Waarde";"2022";"Nederland";0,07;4,13;6,03
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: westers";"Trein";"Waarde";"2023";"Nederland";;;
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: westers";"Trein";"Waarde";"2024*";"Nederland";;;
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: westers";"Fiets";"Waarde";"2018";"Nederland";0,74;2,88;16,14
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: westers";"Fiets";"Waarde";"2019";"Nederland";0,71;2,82;16,75
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: westers";"Fiets";"Waarde";"2020";"Nederland";0,55;2,17;14,17
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: westers";"Fiets";"Waarde";"2021";"Nederland";0,56;2,32;14,91
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: westers";"Fiets";"Waarde";"2022";"Nederland";0,68;2,67;16,5
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: westers";"Fiets";"Waarde";"2023";"Nederland";;;
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: westers";"Fiets";"Waarde";"2024*";"Nederland";;;
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: niet-westers";"Totaal";"Waarde";"2018";"Nederland";2,22;25,35;65,3
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: niet-westers";"Totaal";"Waarde";"2019";"Nederland";2,1;25,78;67,46
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: niet-westers";"Totaal";"Waarde";"2020";"Nederland";1,65;16,94;50,56
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: niet-westers";"Totaal";"Waarde";"2021";"Nederland";1,89;19,93;62,76
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: niet-westers";"Totaal";"Waarde";"2022";"Nederland";2,06;21,7;65,66
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: niet-westers";"Totaal";"Waarde";"2023";"Nederland";;;
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: niet-westers";"Totaal";"Waarde";"2024*";"Nederland";;;
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: niet-westers";"Personenauto (bestuurder)";"Waarde";"2018";"Nederland";0,58;10,76;16,25
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: niet-westers";"Personenauto (bestuurder)";"Waarde";"2019";"Nederland";0,57;10,45;15,93
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: niet-westers";"Personenauto (bestuurder)";"Waarde";"2020";"Nederland";0,49;8,41;13,25
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: niet-westers";"Personenauto (bestuurder)";"Waarde";"2021";"Nederland";0,51;8,61;14,03
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: niet-westers";"Personenauto (bestuurder)";"Waarde";"2022";"Nederland";0,58;9,66;15,7
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: niet-westers";"Personenauto (bestuurder)";"Waarde";"2023";"Nederland";;;
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: niet-westers";"Personenauto (bestuurder)";"Waarde";"2024*";"Nederland";;;
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: niet-westers";"Personenauto  (passagier)";"Waarde";"2018";"Nederland";0,24;4,07;6,88
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: niet-westers";"Personenauto  (passagier)";"Waarde";"2019";"Nederland";0,25;4,59;7,66
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: niet-westers";"Personenauto  (passagier)";"Waarde";"2020";"Nederland";0,17;3,02;5,37
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: niet-westers";"Personenauto  (passagier)";"Waarde";"2021";"Nederland";0,22;3,87;6,75
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: niet-westers";"Personenauto  (passagier)";"Waarde";"2022";"Nederland";0,21;3,49;6,43
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: niet-westers";"Personenauto  (passagier)";"Waarde";"2023";"Nederland";;;
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: niet-westers";"Personenauto  (passagier)";"Waarde";"2024*";"Nederland";;;
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: niet-westers";"Trein";"Waarde";"2018";"Nederland";0,1;4,23;7,06
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: niet-westers";"Trein";"Waarde";"2019";"Nederland";0,1;4,33;7,46
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: niet-westers";"Trein";"Waarde";"2020";"Nederland";0,03;1,52;2,61
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: niet-westers";"Trein";"Waarde";"2021";"Nederland";0,05;2,33;4,05
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: niet-westers";"Trein";"Waarde";"2022";"Nederland";0,06;2,92;5,2
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: niet-westers";"Trein";"Waarde";"2023";"Nederland";;;
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: niet-westers";"Trein";"Waarde";"2024*";"Nederland";;;
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: niet-westers";"Fiets";"Waarde";"2018";"Nederland";0,57;2;12,77
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: niet-westers";"Fiets";"Waarde";"2019";"Nederland";0,53;1,94;13,65
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: niet-westers";"Fiets";"Waarde";"2020";"Nederland";0,38;1,34;9,98
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: niet-westers";"Fiets";"Waarde";"2021";"Nederland";0,42;1,5;12,33
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: niet-westers";"Fiets";"Waarde";"2022";"Nederland";0,49;1,82;13,37
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: niet-westers";"Fiets";"Waarde";"2023";"Nederland";;;
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: niet-westers";"Fiets";"Waarde";"2024*";"Nederland";;;
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 1e 20%-groep";"Totaal";"Waarde";"2018";"Nederland";2,45;26,4;67,79
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 1e 20%-groep";"Totaal";"Waarde";"2019";"Nederland";2,3;25,09;67
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 1e 20%-groep";"Totaal";"Waarde";"2020";"Nederland";1,88;16,47;51,82
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 1e 20%-groep";"Totaal";"Waarde";"2021";"Nederland";2,07;18,8;61,56
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 1e 20%-groep";"Totaal";"Waarde";"2022";"Nederland";2,25;21,94;68,58
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 1e 20%-groep";"Totaal";"Waarde";"2023";"Nederland";2,26;22,72;67,08
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 1e 20%-groep";"Totaal";"Waarde";"2024*";"Nederland";2,16;20,41;64,39
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 1e 20%-groep";"Personenauto (bestuurder)";"Waarde";"2018";"Nederland";0,55;9,24;13,7
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 1e 20%-groep";"Personenauto (bestuurder)";"Waarde";"2019";"Nederland";0,47;7,96;12,15
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 1e 20%-groep";"Personenauto (bestuurder)";"Waarde";"2020";"Nederland";0,4;6,17;9,63
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 1e 20%-groep";"Personenauto (bestuurder)";"Waarde";"2021";"Nederland";0,42;6,28;9,77
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 1e 20%-groep";"Personenauto (bestuurder)";"Waarde";"2022";"Nederland";0,46;7,1;12,07
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 1e 20%-groep";"Personenauto (bestuurder)";"Waarde";"2023";"Nederland";0,5;7,64;12,19
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 1e 20%-groep";"Personenauto (bestuurder)";"Waarde";"2024*";"Nederland";0,45;6,59;10,87
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 1e 20%-groep";"Personenauto  (passagier)";"Waarde";"2018";"Nederland";0,24;5,04;7,42
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 1e 20%-groep";"Personenauto  (passagier)";"Waarde";"2019";"Nederland";0,25;5,18;8,07
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 1e 20%-groep";"Personenauto  (passagier)";"Waarde";"2020";"Nederland";0,18;3,12;5,21
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 1e 20%-groep";"Personenauto  (passagier)";"Waarde";"2021";"Nederland";0,2;3,8;6,36
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 1e 20%-groep";"Personenauto  (passagier)";"Waarde";"2022";"Nederland";0,23;4,77;7,4
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 1e 20%-groep";"Personenauto  (passagier)";"Waarde";"2023";"Nederland";0,22;4,41;6,86
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 1e 20%-groep";"Personenauto  (passagier)";"Waarde";"2024*";"Nederland";0,21;4,15;7,25
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 1e 20%-groep";"Trein";"Waarde";"2018";"Nederland";0,09;5,02;7,64
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 1e 20%-groep";"Trein";"Waarde";"2019";"Nederland";0,1;4,95;7,77
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 1e 20%-groep";"Trein";"Waarde";"2020";"Nederland";0,04;2,19;3,36
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 1e 20%-groep";"Trein";"Waarde";"2021";"Nederland";0,05;2,69;4,23
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 1e 20%-groep";"Trein";"Waarde";"2022";"Nederland";0,07;3,57;5,86
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 1e 20%-groep";"Trein";"Waarde";"2023";"Nederland";0,09;4,45;7,28
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 1e 20%-groep";"Trein";"Waarde";"2024*";"Nederland";0,07;3,43;5,69
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 1e 20%-groep";"Fiets";"Waarde";"2018";"Nederland";0,78;2,87;16,75
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 1e 20%-groep";"Fiets";"Waarde";"2019";"Nederland";0,75;2,76;17,69
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 1e 20%-groep";"Fiets";"Waarde";"2020";"Nederland";0,57;2,14;13,66
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 1e 20%-groep";"Fiets";"Waarde";"2021";"Nederland";0,6;2,36;15,51
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 1e 20%-groep";"Fiets";"Waarde";"2022";"Nederland";0,66;2,6;17,05
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 1e 20%-groep";"Fiets";"Waarde";"2023";"Nederland";0,64;2,6;16
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 1e 20%-groep";"Fiets";"Waarde";"2024*";"Nederland";0,66;2,61;16,58
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 2e 20%-groep";"Totaal";"Waarde";"2018";"Nederland";2,46;26,94;65,22
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 2e 20%-groep";"Totaal";"Waarde";"2019";"Nederland";2,41;26,71;64,04
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 2e 20%-groep";"Totaal";"Waarde";"2020";"Nederland";2,08;18,41;53,7
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 2e 20%-groep";"Totaal";"Waarde";"2021";"Nederland";2,28;21,98;64,02
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 2e 20%-groep";"Totaal";"Waarde";"2022";"Nederland";2,44;23,93;66,27
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 2e 20%-groep";"Totaal";"Waarde";"2023";"Nederland";2,43;24,73;65,25
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 2e 20%-groep";"Totaal";"Waarde";"2024*";"Nederland";2,4;24,85;67,27
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 2e 20%-groep";"Personenauto (bestuurder)";"Waarde";"2018";"Nederland";0,76;12,24;18,34
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 2e 20%-groep";"Personenauto (bestuurder)";"Waarde";"2019";"Nederland";0,73;11,34;17
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 2e 20%-groep";"Personenauto (bestuurder)";"Waarde";"2020";"Nederland";0,64;8,72;13,94
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 2e 20%-groep";"Personenauto (bestuurder)";"Waarde";"2021";"Nederland";0,68;9,9;15,6
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 2e 20%-groep";"Personenauto (bestuurder)";"Waarde";"2022";"Nederland";0,69;10,44;16,13
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 2e 20%-groep";"Personenauto (bestuurder)";"Waarde";"2023";"Nederland";0,72;10,88;17,16
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 2e 20%-groep";"Personenauto (bestuurder)";"Waarde";"2024*";"Nederland";0,71;11,23;17,72
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 2e 20%-groep";"Personenauto  (passagier)";"Waarde";"2018";"Nederland";0,31;5,65;8,85
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 2e 20%-groep";"Personenauto  (passagier)";"Waarde";"2019";"Nederland";0,28;5,45;8,41
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 2e 20%-groep";"Personenauto  (passagier)";"Waarde";"2020";"Nederland";0,21;3,42;5,47
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 2e 20%-groep";"Personenauto  (passagier)";"Waarde";"2021";"Nederland";0,25;4,33;7,11
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 2e 20%-groep";"Personenauto  (passagier)";"Waarde";"2022";"Nederland";0,27;4,47;7,46
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 2e 20%-groep";"Personenauto  (passagier)";"Waarde";"2023";"Nederland";0,28;4,97;7,56
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 2e 20%-groep";"Personenauto  (passagier)";"Waarde";"2024*";"Nederland";0,28;5,01;7,9
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 2e 20%-groep";"Trein";"Waarde";"2018";"Nederland";0,06;2,61;4,16
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 2e 20%-groep";"Trein";"Waarde";"2019";"Nederland";0,06;3,1;4,89
